name,index,image,rect,height width,url
Terence_Bernie_Hines,nm0385722,1.jpg,100 137 200 234,594 453,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3ODk1NjEzOV5BMl5BanBnXkFtZTgwOTAyNjU1MzE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,2.jpg,143 246 608 719,999 799,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NjM0MDI1OF5BMl5BanBnXkFtZTgwMjAwOTYxODE@._V1_SX799_CR0
Terence_Bernie_Hines,nm0385722,3.jpg,225 113 290 180,338 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NDk1ODg2M15BMl5BanBnXkFtZTYwNjk2MjAz._V1_.jpg
Terence_Bernie_Hines,nm0385722,4.jpg,368 239 468 340,1000 666,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMDUyMTY5OF5BMl5BanBnXkFtZTcwMzcyNDI0OQ@@._V1_SY1000_CR0
Terence_Bernie_Hines,nm0385722,5.jpg,219 127 270 173,338 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4ODA3OTE5Nl5BMl5BanBnXkFtZTYwMzk2MjAz._V1_.jpg
Terence_Bernie_Hines,nm0385722,6.jpg,155 86 276 202,563 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3Nzk5NjcxNV5BMl5BanBnXkFtZTcwMDU4MTkyMQ@@._V1_.jpg
Terence_Bernie_Hines,nm0385722,7.jpg,205 115 256 165,338 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MDI1ODE2MV5BMl5BanBnXkFtZTYwMTk2MjAz._V1_.jpg
Terence_Bernie_Hines,nm0385722,8.jpg,236 321 302 384,1000 750,https://images-na.ssl-images-amazon.com/images/M/MV5BZmFkYTE3N2UtYzMxNy00Yjk5LWFiNDUtOTBlMjliZGZhY2IzXkEyXkFqcGdeQXVyMTE2MDk5NQ@@._V1_SY1000_SX750_AL_.jpg
Terence_Bernie_Hines,nm0385722,9.jpg,554 316 666 421,960 774,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNTM4NTY4OV5BMl5BanBnXkFtZTgwNTEyNjU1MzE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,10.jpg,102 170 325 368,571 450,https://images-na.ssl-images-amazon.com/images/M/MV5BNjc2ODY3NDY0MV5BMl5BanBnXkFtZTYwMjA3MjAz._V1_.jpg
Terence_Bernie_Hines,nm0385722,11.jpg,194 171 487 475,943 970,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNDAxNTQ5NV5BMl5BanBnXkFtZTgwNTcwNDkxMjE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,12.jpg,795 252 983 429,760 1344,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMTkzMTcxMV5BMl5BanBnXkFtZTgwNzUzNjU1MzE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,13.jpg,512 58 684 260,772 960,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMDAzNTI2NF5BMl5BanBnXkFtZTgwMTIyNjU1MzE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,14.jpg,94 169 498 555,796 531,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMTY1OTEwOV5BMl5BanBnXkFtZTgwOTM1MzIwMDI@._V1_.jpg
Terence_Bernie_Hines,nm0385722,15.jpg,232 65 327 168,265 387,https://images-na.ssl-images-amazon.com/images/M/MV5BODI2NTE4Njk5NF5BMl5BanBnXkFtZTgwNjYxNTk3MjE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,16.jpg,494 307 695 504,1000 1333,https://images-na.ssl-images-amazon.com/images/M/MV5BNDA1OTRlNGYtNWJmNS00NDE0LWI3MGQtN2NhZjE3ZDVjYWYyXkEyXkFqcGdeQXVyMTE2MDk5NQ@@._V1_SY1000_CR0
Terence_Bernie_Hines,nm0385722,17.jpg,55 43 97 87,240 160,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxODc0MTkwOF5BMl5BanBnXkFtZTgwNzg1MDk5MDE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,18.jpg,127 113 209 190,500 375,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MTMyNDczNl5BMl5BanBnXkFtZTgwNjc0MTYzMDE@._V1_.jpg
Terence_Bernie_Hines,nm0385722,19.jpg,751 432 838 509,1000 952,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyOTQ4NDgwNV5BMl5BanBnXkFtZTgwMTAwNjY5MDE@._V1_SY1000_CR0
Terence_Bernie_Hines,nm0385722,20.jpg,248 173 492 410,1000 698,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3OTg5ODE1OF5BMl5BanBnXkFtZTgwNTEzNTk3MjE@._V1_SY1000_CR0
Terence_Bernie_Hines,nm0385722,21.jpg,451 314 935 767,1000 1250,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzU0MzI4Nl5BMl5BanBnXkFtZTgwOTExOTYxODE@._V1_SY1000_SX1250_AL_.jpg
Terence_Bernie_Hines,nm0385722,22.jpg,216 201 616 597,763 1144,https://images-na.ssl-images-amazon.com/images/M/MV5BNjczOTI1MTk5NV5BMl5BanBnXkFtZTgwMDYyOTYxODE@._V1_.jpg
Tom_Hines,nm0385726,1.jpg,265 130 332 228,518 943,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNDI2NTA2MF5BMl5BanBnXkFtZTcwMTk5NjczNg@@._V1_.jpg
Tom_Hines,nm0385726,2.jpg,1132 211 1194 276,1000 1493,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNjM3NzIwMl5BMl5BanBnXkFtZTcwOTg0OTU5NQ@@._V1_SY1000_CR0
Tom_Hines,nm0385726,3.jpg,259 237 427 418,1000 1504,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjgwNTczOF5BMl5BanBnXkFtZTcwNjAxMzY2Ng@@._V1_SY1000_SX1504_AL_.jpg
Tom_Hines,nm0385726,4.jpg,1647 356 1726 442,974 1777,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NjkyNzUzNF5BMl5BanBnXkFtZTcwOTU1Mzc3NQ@@._V1_SX1777_CR0
Tom_Hines,nm0385726,5.jpg,418 129 495 222,427 640,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3OTA3MzMxOF5BMl5BanBnXkFtZTcwNTQyNjQ0Mw@@._V1_.jpg
Tom_Hines,nm0385726,6.jpg,836 332 900 400,1000 1709,https://images-na.ssl-images-amazon.com/images/M/MV5BMjY1NTA5MTkyMF5BMl5BanBnXkFtZTcwMDY1Mzc3NQ@@._V1_SY1000_CR0
Tom_Hines,nm0385726,7.jpg,126 77 205 178,404 604,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MjY2MzQzNl5BMl5BanBnXkFtZTcwOTg5NjczNg@@._V1_.jpg
Meghan_Scott,nm7622717,1.jpg,358 146 517 306,1000 666,https://images-na.ssl-images-amazon.com/images/M/MV5BMjhkNTdlMDQtMDMwMi00ZjRiLTk3MjItOTE3ZWRjYTA3N2FjXkEyXkFqcGdeQXVyNjI1MDUxODY@._V1_SY1000_CR0
Meghan_Scott,nm7622717,2.jpg,366 122 437 193,435 750,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NDI5NzE0Nl5BMl5BanBnXkFtZTgwMDg5MTcyMDI@._V1_.jpg
Meghan_Scott,nm7622717,3.jpg,804 360 987 543,1000 1500,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NzYxNDIwMV5BMl5BanBnXkFtZTgwNjM5MTcyMDI@._V1_SY1000_SX1500_AL_.jpg
Meghan_Scott,nm7622717,4.jpg,713 386 834 508,999 1777,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NDI3MDY1NF5BMl5BanBnXkFtZTgwMzE3NjA0MDI@._V1_SX1777_CR0
Meghan_Scott,nm7622717,5.jpg,365 104 448 187,1000 666,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MTgzNDk5N15BMl5BanBnXkFtZTgwMjg3NDQ2OTE@._V1_SY1000_CR0
Meghan_Scott,nm7622717,6.jpg,481 189 643 351,1000 1500,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMjQxMDI0NF5BMl5BanBnXkFtZTgwNzc1NTE2ODE@._V1_SY1000_SX1500_AL_.jpg
Meghan_Scott,nm7622717,7.jpg,676 145 866 335,672 960,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwMTYyOTczNF5BMl5BanBnXkFtZTgwOTM5MTcyMDI@._V1_.jpg
Meghan_Scott,nm7622717,8.jpg,590 327 770 507,1000 1500,https://images-na.ssl-images-amazon.com/images/M/MV5BNjExMzA0NTIxOF5BMl5BanBnXkFtZTgwNTE2NTE2ODE@._V1_SY1000_SX1500_AL_.jpg
Meghan_Scott,nm7622717,9.jpg,195 167 452 423,1000 666,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NDcyNzE5OV5BMl5BanBnXkFtZTgwOTA5MDM5ODE@._V1_SY1000_CR0
Meghan_Scott,nm7622717,10.jpg,318 121 451 254,661 661,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2NjIyNzc2Nl5BMl5BanBnXkFtZTgwNjc5MTcyMDI@._V1_.jpg
Meghan_Scott,nm7622717,11.jpg,244 434 402 592,1000 723,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwOTk4MDk5OF5BMl5BanBnXkFtZTgwMzM5MTcyMDI@._V1_SY1000_CR0
Meghan_Scott,nm7622717,12.jpg,739 295 897 453,1000 1500,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMDYyODQ3M15BMl5BanBnXkFtZTgwMTQ4NDk3OTE@._V1_SY1000_SX1500_AL_.jpg
Meghan_Scott,nm7622717,13.jpg,892 260 1012 381,1000 1500,https://images-na.ssl-images-amazon.com/images/M/MV5BYTI2YWI2OTEtYjc1ZC00ODhmLWFlNDUtZDJmYWY5OTY5ODgzXkEyXkFqcGdeQXVyNjI1MDUxODY@._V1_SY1000_SX1500_AL_.jpg
Meghan_Scott,nm7622717,14.jpg,301 187 626 512,1000 781,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0ODM5NjE3Ml5BMl5BanBnXkFtZTgwNDE5ODI5ODE@._V1_SY1000_CR0
